state_id,police_homicide,police_homicide_wp,police_homicide_guardian,police_homicide_mpv,police_homicide_kbp,police_homicide_fatal,year,state_abb,pop_100000,std_squire_capacity,termEct,std_med_income,std_employees,std_police_ideal,repLeg,demLeg,repGov,demGov,state,std_black,invLaw,wapost_fbi_dif,guard_fbi_dif,mpv_fbi_dif,kbp_fbi_dif,fatal_fbi_dif,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_pov,black_pov,hispanic_pov,asian_pov,children_0_18,adults_19_25,adults_26_34,adults_35.54,adults_55.64,adults_65up,male_pop,female_pop,total_.incar,income,black_income,unemployment,black_female_16_65_unemp,black_female_65up_unemp,black_male_16_65_unemp,black_male_65up_unemp,homeless
17,1,,,6,,18,2013,KS,28.92821,-0.120516554,0,-0.580205065,-0.625736846,-0.218178209,1,0,1,0,KANSAS,-0.483196794,0,,,5,,17,2796500,0.773,0.056,0.111,0.024,0.108,0.269,0.234,0.161,0.265,0.094,0.12,0.254,0.127,0.139,0.494,0.506,37100,64749,32311,95703,5724,81,6834,34,2693
18,3,,,7,,12,2013,KY,44.00477,0.092229628,0,-1.579043102,-0.667649948,-0.137252182,0,0,0,1,KENTUCKY,-0.250034628,0,,,4,,9,4260900,0.86,0.076,0.032,0.012,0.17,0.278,0.284,0.142,0.245,0.092,0.114,0.272,0.133,0.144,0.489,0.511,97600,54498,29251,188278,12823,74,12866,151,5245
19,4,,,15,,25,2013,LA,46.26402,0.348912375,1,-1.850625954,0.281046796,-0.220388374,1,0,1,0,LOUISIA,2.314749196,0,,,11,,21,4483200,0.599,0.318,0.046,0.016,0.118,0.338,0.252,0.128,0.257,0.1,0.126,0.258,0.128,0.131,0.482,0.518,115700,57260,28070,178471,43749,555,46970,521,5226
20,4,,,5,,6,2013,ME,13.29076,-0.261700485,1,-0.72627723,-0.70302327,-1.042314589,0,1,1,0,MAINE,-0.981315966,0,,,1,,2,1291900,0.941,0.01,0.013,0.01,0.125,0.577,0.282,0,0.206,0.08,0.1,0.28,0.158,0.176,0.488,0.512,10500,59427,27020,49236,411,3,614,0,3016
21,17,,,25,,40,2013,MD,59.31129,0.9394407,0,0.895188056,1.186603866,-1.157052896,0,1,0,1,MARYLAND,1.996800788,0,,,8,,23,5767500,0.532,0.289,0.091,0.06,0.07,0.153,0.13,0.095,0.241,0.088,0.123,0.284,0.129,0.133,0.483,0.517,74800,92628,58091,239336,53556,1222,58504,1273,8205
22,0,,,15,,21,2013,MA,67.06786,1.403291968,0,0.648985778,-0.164396676,-0.572375422,0,1,0,1,MASSACHUSETTS,-0.409008832,0,,,15,,21,6451500,0.748,0.063,0.106,0.056,0.084,0.203,0.297,0.133,0.223,0.091,0.122,0.283,0.133,0.148,0.484,0.516,91100,89668,43345,292936,17966,275,18411,252,19029
23,9,,,13,,44,2013,MI,98.98982,1.784952681,1,-0.867637389,-0.450974518,-1.350958409,1,0,1,0,MICHIGAN,0.375263908,0,,,4,,35,9664300,0.762,0.136,0.047,0.027,0.127,0.344,0.272,0.13,0.24,0.096,0.107,0.27,0.139,0.149,0.489,0.511,253700,59385,29629,573618,70252,858,74484,997,11527
24,1,,,13,,17,2013,MN,54.18521,0.60115475,0,0.42880662,-0.482867754,-0.44561737,0,1,0,1,MINNESOTA,-0.525589915,0,,,12,,16,5287800,0.82,0.053,0.048,0.045,0.082,0.336,0.244,0.18,0.249,0.087,0.125,0.271,0.131,0.138,0.493,0.507,123500,73314,29896,193304,10903,30,11910,90,8214
25,0,,,6,,22,2013,MS,29.90482,0.013420156,0,-1.719118169,-0.313782517,-0.186839208,1,0,1,0,MISSISSIPPI,2.897654611,0,,,6,,22,2889200,0.576,0.376,0.025,0.01,0.151,0.378,0.331,0.123,0.265,0.096,0.113,0.26,0.127,0.139,0.48,0.52,67400,48616,25800,140135,40869,391,39071,346,2403
26,19,,,27,,42,2013,MO,60.42711,0.777768953,1,-0.705929934,-0.427826414,-0.200021728,1,0,0,1,MISSOURI,0.120905181,0,,,8,,23,5853100,0.806,0.112,0.038,0.017,0.137,0.298,0.253,0.191,0.244,0.093,0.119,0.264,0.131,0.149,0.487,0.513,114900,59548,31511,246509,27496,587,30299,269,8581
